Date,Cotton Type,Price (USD)
01-May-17,Pakistan KCA Spot,78.53
01-May-17,A index Cotton,87.75
02-May-17,China 328,104.89
02-May-17,CN-FC Index S,90.4
02-May-17,India Shankar-6,83.6
02-May-17,New York Nearby,80.83
02-May-17,Pakistan KCA Spot,78.33
02-May-17,A index Cotton,88.65
03-May-17,China 328,105.13
03-May-17,CN-FC Index S,90.67
03-May-17,India Shankar-6,83.71
03-May-17,New York Nearby,80.69
03-May-17,Pakistan KCA Spot,78.47
03-May-17,A index Cotton,89.1
04-May-17,China 328,105.25
04-May-17,CN-FC Index S,90.21
04-May-17,India Shankar-6,83.18
04-May-17,New York Nearby,80.83
04-May-17,Pakistan KCA Spot,78.49
04-May-17,A index Cotton,88.6
05-May-17,China 328,105.45
05-May-17,CN-FC Index S,90.4
05-May-17,India Shankar-6,82.95
05-May-17,New York Nearby,79.76
05-May-17,Pakistan KCA Spot,78.42
05-May-17,A index Cotton,88.8
08-May-17,China 328,195.92
08-May-17,CN-FC Index S,89.62
08-May-17,India Shankar-6,83.12
08-May-17,New York Nearby,76.78
08-May-17,Pakistan KCA Spot,77.77
08-May-17,A index Cotton,87.7
09-May-17,China 328,105.17
09-May-17,CN-FC Index S,89.03
09-May-17,India Shankar-6,83.02
09-May-17,New York Nearby,77.43
09-May-17,Pakistan KCA Spot,78.34
09-May-17,A index Cotton,87.1
10-May-17,China 328,105.7
10-May-17,CN-FC Index S,89.35
10-May-17,India Shankar-6,82.65
10-May-17,New York Nearby,76.49
10-May-17,Pakistan KCA Spot,78.37
10-May-17,A index Cotton,87.1
11-May-17,China 328,104.98
11-May-17,CN-FC Index S,88.39
11-May-17,India Shankar-6,82.57
11-May-17,New York Nearby,79.18
11-May-17,Pakistan KCA Spot,78.33
11-May-17,A index Cotton,86.4
12-May-17,China 328,105.13
12-May-17,CN-FC Index S,90.96
12-May-17,India Shankar-6,83.39
12-May-17,New York Nearby,82.18
12-May-17,Pakistan KCA Spot,78.47
12-May-17,A index Cotton,88.9
15-May-17,China 328,105.19
15-May-17,CN-FC Index S,92.63
15-May-17,India Shankar-6,85.04
15-May-17,New York Nearby,85.32
15-May-17,Pakistan KCA Spot,77.77
15-May-17,A index Cotton,91.9
16-May-17,China 328,105.41
16-May-17,CN-FC Index S,94.47
16-May-17,India Shankar-6,85.05
16-May-17,New York Nearby,81.32
16-May-17,Pakistan KCA Spot,78.68
16-May-17,A index Cotton,94.9
17-May-17,China 328,105.55
17-May-17,CN-FC Index S,90.71
17-May-17,India Shankar-6,85.12
17-May-17,New York Nearby,80.17
17-May-17,Pakistan KCA Spot,79.62
17-May-17,A index Cotton,90.8
18-May-17,China 328,105.69
